Lat,Long,Name,Tenths,BendName,BendNumber
38.6276,-90.75171,50.9,9,,
38.62614,-90.75214,51,0,,
38.62473,-90.75242,51.1,1,,
38.62326,-90.75268,51.2,2,,
38.62182,-90.7529,51.3,3,,
38.62038,-90.75317,51.4,4,,
38.61893,-90.75342,51.5,5,,
38.6175,-90.75374,51.6,6,,
38.61607,-90.75403,51.7,7,,
38.61466,-90.75438,51.8,8,,
38.61332,-90.75475,51.9,9,,
38.61194,-90.75517,52,0,,
38.61047,-90.75574,52.1,1,,
38.60905,-90.75646,52.2,2,,
38.60769,-90.75728,52.3,3,,
38.60637,-90.75817,52.4,4,,
38.60514,-90.75916,52.5,5,,
38.60394,-90.7602,52.6,6,,
38.60279,-90.76125,52.7,7,,
38.60163,-90.7624,52.8,8,,
38.60053,-90.7636,52.9,9,,
38.59949,-90.76483,53,0,,
38.59846,-90.76621,53.1,1,,
38.5975,-90.76749,53.2,2,,
38.59651,-90.7689,53.3,3,,
38.59558,-90.77036,53.4,4,,
38.59475,-90.77189,53.5,5,,
38.59396,-90.77343,53.6,6,,
38.59335,-90.7751,53.7,7,,
38.59274,-90.77681,53.8,8,,
38.59225,-90.77851,53.9,9,,
38.59196,-90.78032,54,0,,
38.5918,-90.78217,54.1,1,,
38.59178,-90.78398,54.2,2,,
38.59176,-90.78582,54.3,3,,
38.59169,-90.78769,54.4,4,,
38.59164,-90.78954,54.5,5,,
38.59157,-90.79138,54.6,6,,
38.59147,-90.79327,54.7,7,,
38.59133,-90.79497,54.8,8,,
38.59115,-90.7968,54.9,9,,
38.5909,-90.7987,55,0,,
38.59061,-90.80057,55.1,1,,
38.59028,-90.80234,55.2,2,,
38.58992,-90.80413,55.3,3,,
38.58949,-90.80585,55.4,4,,
38.58897,-90.80759,55.5,5,,
38.58838,-90.80926,55.6,6,,
38.58774,-90.8109,55.7,7,,
38.58705,-90.81251,55.8,8,,
38.58627,-90.81401,55.9,9,,
38.58547,-90.81554,56,0,,
38.58456,-90.81692,56.1,1,,
38.58357,-90.81826,56.2,2,,
38.58253,-90.81949,56.3,3,,
38.58146,-90.82067,56.4,4,,
38.5803,-90.82192,56.5,5,,
38.57921,-90.82305,56.6,6,,
38.57812,-90.82426,56.7,7,,
38.577,-90.82548,56.8,8,,
38.57593,-90.82672,56.9,9,,
38.57486,-90.82794,57,0,,
38.57376,-90.82916,57.1,1,,
38.57272,-90.83036,57.2,2,,
38.57165,-90.83163,57.3,3,,
38.57064,-90.83289,57.4,4,,
38.5696,-90.8342,57.5,5,,
38.56863,-90.83559,57.6,6,,
38.56768,-90.83699,57.7,7,,
38.56674,-90.83843,57.8,8,,
38.56584,-90.83987,57.9,9,,
38.56501,-90.84137,58,0,,
38.56416,-90.84289,58.1,1,,
38.56338,-90.84445,58.2,2,,
38.56265,-90.8459,58.3,3,,
38.56198,-90.84746,58.4,4,,
38.56141,-90.8492,58.5,5,,
38.56101,-90.85092,58.6,6,,
38.56065,-90.85271,58.7,7,,
38.56032,-90.85451,58.8,8,,
38.56,-90.85628,58.9,9,,
38.55967,-90.85802,59,0,,
38.55934,-90.85983,59.1,1,,
38.55898,-90.86162,59.2,2,,
38.55858,-90.8634,59.3,3,,
38.55812,-90.86509,59.4,4,,
38.55762,-90.86683,59.5,5,,
38.55708,-90.86853,59.6,6,,
38.55651,-90.87023,59.7,7,,
38.55592,-90.87185,59.8,8,,
38.55528,-90.87358,59.9,9,,
38.55451,-90.87521,60,0,,
38.55357,-90.87669,60.1,1,,
38.55268,-90.87784,60.2,2,,
38.55159,-90.87901,60.3,3,,
38.55047,-90.88021,60.4,4,,
38.54937,-90.88148,60.5,5,,
38.54832,-90.88275,60.6,6,,
38.54728,-90.88404,60.7,7,,
38.54626,-90.88535,60.8,8,,
38.54525,-90.88669,60.9,9,,
38.54427,-90.88805,61,0,,
38.54331,-90.88944,61.1,1,,
38.54239,-90.89086,61.2,2,,
38.54147,-90.89231,61.3,3,,
38.54059,-90.89382,61.4,4,,
38.53976,-90.89534,61.5,5,,
38.53901,-90.89689,61.6,6,,
38.5383,-90.8985,61.7,7,,
38.53765,-90.90014,61.8,8,,
38.53703,-90.90185,61.9,9,,
38.53647,-90.90355,62,0,,
38.53597,-90.90528,62.1,1,,
38.5355,-90.90703,62.2,2,,
38.53507,-90.90881,62.3,3,,
38.53468,-90.9106,62.4,4,,
38.53435,-90.91237,62.5,5,,
38.53405,-90.91417,62.6,6,,
38.53382,-90.91597,62.7,7,,
38.53365,-90.9178,62.8,8,,
38.53352,-90.91963,62.9,9,,
38.53342,-90.92148,63,0,,
38.53343,-90.92331,63.1,1,,
38.53346,-90.92516,63.2,2,,
38.53355,-90.92707,63.3,3,,
38.53369,-90.92891,63.4,4,,
38.53386,-90.93076,63.5,5,,
38.53408,-90.93263,63.6,6,,
38.53436,-90.93441,63.7,7,,
38.53471,-90.9362,63.8,8,,
38.53509,-90.93798,63.9,9,,
38.53552,-90.93983,64,0,,
38.53593,-90.94164,64.1,1,,
38.53638,-90.94335,64.2,2,,
38.53684,-90.94507,64.3,3,,
38.53735,-90.94677,64.4,4,,
38.53795,-90.94846,64.5,5,,
38.5387,-90.95006,64.6,6,,
38.53958,-90.95154,64.7,7,,
38.54057,-90.95282,64.8,8,,
38.54165,-90.95411,64.9,9,,
38.5427,-90.95541,65,0,,
38.54375,-90.95668,65.1,1,,
38.54477,-90.958,65.2,2,,
38.54571,-90.9594,65.3,3,,
38.54658,-90.96088,65.4,4,,
38.54739,-90.96237,65.5,5,,
38.54816,-90.96389,65.6,6,,
38.54892,-90.9654,65.7,7,,
38.54962,-90.96697,65.8,8,,
38.55029,-90.96861,65.9,9,,
38.55105,-90.97049,66,0,,
38.55166,-90.9721,66.1,1,,
38.55223,-90.97379,66.2,2,,
38.55269,-90.97551,66.3,3,,
38.55301,-90.9773,66.4,4,,
38.55325,-90.9791,66.5,5,,
38.55342,-90.98095,66.6,6,,
38.55358,-90.98278,66.7,7,,
38.55375,-90.98462,66.8,8,,
38.55398,-90.98644,66.9,9,,
38.55428,-90.98831,67,0,,
38.55461,-90.99007,67.1,1,,
38.55495,-90.99185,67.2,2,,
38.55531,-90.99364,67.3,3,,
38.55578,-90.99549,67.4,4,,
38.55623,-90.99711,67.5,5,,
38.55681,-90.99881,67.6,6,,
38.55745,-91.00047,67.7,7,,
38.55815,-91.00211,67.8,8,,
38.55886,-91.00369,67.9,9,,
38.5596,-91.00526,68,0,,
38.56042,-91.00676,68.1,1,,
38.56125,-91.00828,68.2,2,,
38.5621,-91.00982,68.3,3,,
38.56297,-91.01118,68.4,4,,
38.5639,-91.01261,68.5,5,,
38.56484,-91.01397,68.6,6,,
38.56584,-91.0153,68.7,7,,
38.56686,-91.01656,68.8,8,,
38.56798,-91.01786,68.9,9,,
38.56918,-91.01919,69,0,,
38.57029,-91.02034,69.1,1,,
38.57141,-91.02149,69.2,2,,
38.5726,-91.02256,69.3,3,,
38.57388,-91.02347,69.4,4,,
38.57521,-91.02412,69.5,5,,
38.57665,-91.02455,69.6,6,,
38.57805,-91.02478,69.7,7,,
38.57949,-91.02503,69.8,8,,
38.58087,-91.02533,69.9,9,,
38.58228,-91.02566,70,0,,
38.58372,-91.02602,70.1,1,,
38.58511,-91.02643,70.2,2,,
38.58651,-91.02692,70.3,3,,
38.58789,-91.02749,70.4,4,,
38.58923,-91.0282,70.5,5,,
38.59058,-91.02887,70.6,6,,
38.59202,-91.02971,70.7,7,,
38.59331,-91.03058,70.8,8,,
38.59456,-91.03153,70.9,9,,
38.5958,-91.03256,71,0,,
38.59699,-91.03371,71.1,1,,
38.5981,-91.03491,71.2,2,,
38.59914,-91.0362,71.3,3,,
38.60016,-91.03752,71.4,4,,
38.60115,-91.03886,71.5,5,,
38.60217,-91.04029,71.6,6,,
38.60311,-91.04174,71.7,7,,
38.60402,-91.04321,71.8,8,,
38.60488,-91.04468,71.9,9,,
38.60571,-91.04616,72,0,,
38.60655,-91.04776,72.1,1,,
38.60731,-91.04934,72.2,2,,
38.608,-91.05096,72.3,3,,
38.60859,-91.05266,72.4,4,,
38.6091,-91.05439,72.5,5,,
